,time,passenger_rail_load_MWh,freight_rail_load_MWh,aviation_load_MWh,ship_load_MWh,HDV_load_MWh,MDV_load_MWh,LDV_load_MWh,transportation_load_MWh
0,2035-01-01 01:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1702.683231514471,981.4474763874289,19400.52228585863,22739.906599377588
1,2035-01-01 02:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,2285.0668043822166,976.5353028223707,19921.369985180896,23838.225698002538
2,2035-01-01 03:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1336.9255888451094,803.0019963944716,19518.61433453077,22313.795525387402
3,2035-01-01 04:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,772.7373691125327,727.1920584205767,18398.121708675968,20553.30474182613
4,2035-01-01 05:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,617.7224719195168,669.1005835714917,17461.61868376493,19403.69534487299
5,2035-01-01 06:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,771.7954478709634,657.4002662291446,16234.116192005347,18318.565511722507
6,2035-01-01 07:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1927.7149551294315,691.2130144928735,14515.01565882488,17789.19723406424
7,2035-01-01 08:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1293.4604898165367,650.208758657792,12154.31571759299,14753.238571684375
8,2035-01-01 09:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,858.0468440996423,642.1320302315485,10437.152646255323,12592.585126203567
9,2035-01-01 10:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,851.0270940574999,654.3180791704365,9346.303308751163,11506.902087596154
10,2035-01-01 11:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,859.9018345579116,645.4089774141883,8588.733391146328,10749.297808735482
11,2035-01-01 12:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,889.80634730857,660.5208305731929,7874.833733829898,10080.414517328716
12,2035-01-01 13:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,965.6263567410274,913.4955185827483,7659.9194884873405,10194.29496942817
13,2035-01-01 14:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,986.8281799895778,1369.4754396762216,8206.783459635139,11218.340684917992
14,2035-01-01 15:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,737.4341178694842,271.56961557808086,9287.282904504698,10951.540243569318
15,2035-01-01 16:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1325.8903231109402,95.8312161349317,10884.038958358153,12961.014103221078
16,2035-01-01 17:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,475.8065448373028,58.294176036156124,12227.04856848362,13416.402894974133
17,2035-01-01 18:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,401.9223180895442,78.80725989788276,13379.447780846618,14515.4309644511
18,2035-01-01 19:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,138.39216890325622,61.10586812435039,14067.477153597567,14922.228796242229
19,2035-01-01 20:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,267.22740622327194,66.4166097975443,15114.549419929173,16103.447041567044
20,2035-01-01 21:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,493.7160665879699,290.3033506056996,15465.436798798339,16904.709821609064
21,2035-01-01 22:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,148.6388004065557,1003.5645784451375,16045.1759104289,17852.632894897644
22,2035-01-01 23:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,765.4186740328527,1876.4902273401249,16889.922853706437,20187.08536069647
23,2035-01-02 00:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1867.621103560986,3242.6652355457704,18114.3622247448,23879.902169468613
24,2035-01-02 01:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1702.683231514471,981.4474763874289,19169.95004961508,22509.334363134036
25,2035-01-02 02:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,2285.0668043822166,976.5353028223707,19700.68348863393,23617.539201455576
26,2035-01-02 03:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1336.9255888451094,803.0019963944716,19306.07423193521,22101.255422791844
27,2035-01-02 04:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,772.7373691125327,727.1920584205767,18209.71941250449,20364.902445654654
28,2035-01-02 05:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,617.7224719195168,669.1005835714917,17284.574765338246,19226.651426446308
29,2035-01-02 06:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,771.7954478709634,657.4002662291446,16046.298080729946,18130.747400447108
30,2035-01-02 07:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1927.7149551294315,691.2130144928735,14084.652918523128,17358.834493762486
31,2035-01-02 08:00:00+00:00,164.16379586794824,332.56032113134927,137.04488423912895,21.484604378627083,1293.4604898165367,650.208758657792,10961.409752281535,13560.33260637292
