FIPS,2020,2030,2040,2050,2060,2070,2080,2090,2100,state_name
09001,925066.8886908336,917088.7980945874,890937.6682816872,846981.5412785269,799367.838902555,751411.0232101867,701018.4068736787,644959.3382141426,586996.9428395999,connecticut
09003,912857.8168949756,904858.3991092602,880006.2477377147,840068.4675453044,795200.2498447681,749153.4558844771,699359.5246171999,644057.9090880855,583015.9712293916,connecticut
09005,195802.0421397244,189689.5998774934,179122.2979023291,165588.6023638129,151122.60881001077,137533.45260968184,124642.57730823604,110488.06367097226,96945.91701489936,connecticut
09007,168848.67267141733,163882.54889944903,152741.94568913543,139243.43043471317,124493.4154578853,111259.4211399294,97667.5322769912,84334.257349,69793.50226431598,connecticut
09009,863344.0993064517,856181.0622105777,832070.8035499853,791288.2929703211,746484.7829900862,699649.3664724736,652354.2841131192,597915.7062163817,541985.0072368511,connecticut
09011,274169.80883538304,266778.7749807788,250570.3817896039,230542.53927792705,208368.4663927139,186581.2186146723,166459.97044534274,144797.6877198534,124011.80846170276,connecticut
09013,158686.29380291176,153210.3728551978,141780.41803467527,128218.43876572503,114622.01038022578,102675.30004183762,91229.3440277126,78691.22673555111,67844.06830298279,connecticut
09015,120440.37765830247,116237.94397265572,109276.7370148697,101223.18736366952,93400.37722175477,85831.76202674145,77956.36033771985,70907.31100601314,62890.78265025658,connecticut
24001,84412.54969296347,86818.21742834087,85175.58600522285,81217.66514844768,75984.81352880293,69802.62079099397,63012.76508237115,55699.25992638698,48742.858088002286,maryland
24003,539326.4798121355,547802.4159684001,546332.2726782362,534749.804875222,512554.889348567,484482.9982050101,449652.0459125737,405988.7441481353,359069.09392387903,maryland
24005,849769.6821093458,863756.1064721794,862107.3051882787,847326.608282297,821378.6066743392,788386.8493747261,748663.5356797972,699918.2928062502,645720.7111537514,maryland
24009,94654.1847021002,97428.9905713154,96798.17370555962,91515.28499730614,82866.23873380861,73714.52419482867,62771.81218062413,51389.57726369215,41771.24010899488,maryland
24011,36761.30285088117,38714.80846143417,37536.82337355294,33926.281704447145,32536.159415178976,31133.10708879423,29535.321029639643,27577.580379166437,25503.837415041937,maryland
24013,181272.54076461267,187609.0252941381,186305.38591151836,174170.98765237394,158170.93429620177,142025.97591613783,123941.86339717328,104545.82899395116,86205.00540685846,maryland
24015,108216.86182967405,112102.87772447312,111065.3394822476,104445.27088225726,95457.63065242958,86016.82852956322,75619.79145278485,64892.123459975344,55023.15317897953,maryland
24017,156494.79913646678,161227.6409859956,159690.05419335078,151225.91333141076,143019.0768054905,134106.38954556183,122605.39217793867,109594.81643417742,94339.90856629243,maryland
24019,38323.80545716353,39899.06771977754,38597.901816303136,36477.11215578365,35236.25978945339,33806.29483746534,32280.674231150904,30534.70148008692,28460.941314156345,maryland
24021,254582.97445599263,262386.91913255886,260444.04561305587,247265.72161008936,232716.6739850855,216600.44707056257,197471.27320655904,175097.9955550086,152951.86788686385,maryland
24023,36401.80780236516,39326.66779477589,37024.96189853107,32761.75657203859,31752.48495534885,30313.260503889567,28600.6634231824,26337.36217860731,23392.0946678145,maryland
24025,259928.046014652,266343.7502016872,265063.88621306146,255422.221832722,240402.4114330629,222612.6888568201,201541.1891363093,177785.0287232586,152656.76820406783,maryland
