Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
227,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"80,366","38,343",109.60%
228,CE,MO,COU,Columbia,Columbia Regional,P,N,"79,775","51,191",55.84%
229,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"79,542","52,559",51.34%
230,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"76,947","51,345",49.86%
231,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"76,228","52,510",45.17%
232,SW,TX,ABI,Abilene,Abilene Regional,P,N,"75,402","44,202",70.59%
234,AL,AK,ADQ,Kodiak,Kodiak,P,N,"72,905","40,218",81.27%
235,NM,MT,HLN,Helena,Helena Regional,P,N,"71,305","46,298",54.01%
236,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"70,458","47,760",47.53%
237,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"69,800","46,745",49.32%
238,EA,NY,SWF,Newburgh,New York Stewart International,P,N,"69,649","50,030",39.21%
239,WP,CA,SCK,Stockton,Stockton Metro,P,N,"69,235","44,386",55.98%
240,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"69,170","42,790",61.65%
241,GL,MI,MBS,Saginaw,MBS International,P,N,"68,806","47,393",45.18%
242,WP,HI,MKK,Kaunakakai,Molokai,P,N,"68,251","30,740",122.03%
243,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"68,044","33,053",105.86%
244,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"67,789","18,462",267.18%
245,SW,TX,CLL,College Station,Easterwood Field,P,N,"67,033","41,790",60.40%
246,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"66,972","41,737",60.46%
247,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"66,629","44,923",48.32%
248,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"64,245","67,676",-5.07%
249,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"60,949","34,486",76.74%
250,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"60,115","35,595",68.89%
251,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"60,030","36,577",64.12%
252,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"58,574","34,247",71.03%
253,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,N,"58,382","128,204",-54.46%
254,WP,CA,RDD,Redding,Redding Municipal,P,N,"58,295","19,270",202.52%
255,EA,NY,ITH,Ithaca,Ithaca Tompkins International,P,N,"57,750","33,093",74.51%
256,GL,IL,CMI,Savoy,University of Illinois/Willard,P,N,"56,700","35,874",58.05%
257,SO,GA,CSG,Columbus,Columbus,P,N,"56,520","29,686",90.39%
258,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"55,904","36,858",51.67%
259,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"54,473","32,300",68.65%
260,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"52,726","32,088",64.32%
261,GL,MI,SAW,Gwinn,Sawyer International,P,N,"51,846","26,843",93.15%
263,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"48,344","27,009",78.99%
264,SW,TX,ACT,Waco,Waco Regional,P,N,"47,541","27,704",71.60%
265,NM,WA,YKM,Yakima,Yakima Air Trml/McAllister Field,P,N,"46,658","31,050",50.27%
266,AL,AK,OME,Nome,Nome,P,N,"46,645","30,274",54.08%
267,GL,ND,XWA,Williston,Williston Basin International,P,N,"46,577","31,412",48.28%
268,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"46,305","30,633",51.16%
269,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"45,369","36,864",23.07%
270,SW,NM,ROW,Roswell,Roswell Air Center,P,N,"44,879","24,054",86.58%
271,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"42,471","41,959",1.22%
272,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"40,751","43,325",-5.94%
273,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"39,943","29,133",37.11%
274,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"39,336","25,090",56.78%
275,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"39,138","18,580",110.65%
276,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"38,783","28,862",34.37%
277,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"38,736","21,808",77.62%
279,NM,WY,COD,Cody,Yellowstone Regional,P,N,"37,349","20,624",81.09%
280,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"37,165","18,468",101.24%
281,SO,AL,DHN,Dothan,Dothan Regional,P,N,"37,047","23,968",54.57%
282,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"36,748","23,490",56.44%
283,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"36,235","21,918",65.32%
284,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"35,856","19,123",87.50%
285,NM,ID,TWF,Twin Falls,Joslin Field/Magic Valley Regional,P,N,"34,959","23,528",48.58%
286,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"34,778","18,692",86.06%
287,SO,PR,PSE,Ponce,Mercedita,P,N,"32,584","18,643",74.78%
288,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,"32,038","21,272",50.61%
289,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"31,898","22,238",43.44%
290,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"31,796","17,222",84.62%
291,CE,IA,SUX,Sioux City,Sioux Gateway/Brig General Bud Day Field,P,N,"31,101","17,078",82.11%
292,AL,AK,HOM,Homer,Homer,P,N,"30,972","9,677",220.06%
293,NM,ID,LWS,Lewiston,Lewiston/Nez Perce County,P,N,"30,892","15,630",97.65%
294,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"30,457","17,365",75.39%
295,AL,AK,AKN,King Salmon,King Salmon,P,N,"29,914","17,254",73.37%
296,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,"29,857","8,887",235.96%
297,NE,CT,HVN,New Haven,Tweed/New Haven,P,N,"29,732","11,432",160.08%
298,GL,MI,PLN,Pellston,Pellston Regional/Emmet County,P,N,"29,241","15,814",84.91%
299,CE,KS,GCK,Garden City,Garden City Regional,P,N,"28,525","16,421",73.71%
300,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"27,984","52,530",-46.73%
301,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"27,916","10,745",159.80%
302,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,"27,023","13,268",103.67%
303,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"26,888","17,340",55.06%
304,CE,MO,JLN,Joplin,Joplin Regional,P,N,"26,698","24,944",7.03%
306,GL,WI,RHI,Rhinelander,Rhinelander/Oneida County,P,N,"26,252","13,654",92.27%
307,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"25,994","16,783",54.88%
308,AL,AK,DLG,Dillingham,Dillingham,P,N,"25,988","13,900",86.96%
309,CE,NE,EAR,Kearney,Kearney Regional,P,N,"25,355","11,816",114.58%
310,WP,HI,LNY,Lanai City,Lanai,P,N,"24,226","17,128",41.44%
311,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,"24,169","17,076",41.54%
312,SW,TX,GGG,Longview,East Texas Regional,P,N,"23,942","14,632",63.63%
313,NM,WY,SHR,Sheridan,Sheridan County,P,N,"23,920","10,166",135.29%
314,NM,WY,GCC,Gillette,Northeast Wyoming Regional,P,N,"23,873","14,473",64.95%
315,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"23,818","19,395",22.80%
316,WP,AZ,PRC,Prescott,Prescott Regional-Ernest A Love Field,P,N,"23,598","13,029",81.12%
317,EA,MD,HGR,Hagerstown,Hagerstown Regional/Richard A Henson Field,P,N,"23,227","14,373",61.60%
318,SO,SC,FLO,Florence,Florence Regional,P,N,"23,028","13,373",72.20%
319,AL,AK,MRI,Anchorage,Merrill Field,P,N,"22,907","23,025",-0.51%
320,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,"21,914","15,792",38.77%
321,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"21,850","14,854",47.10%
322,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"21,046","11,774",78.75%
323,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"20,690","11,726",76.45%
324,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,"20,328","12,313",65.09%
325,NM,UT,CNY,Moab,Canyonlands Regional,P,N,"20,093","7,822",156.88%
326,EA,NY,ART,Watertown,Watertown International,P,N,"19,920","11,671",70.68%
327,SW,TX,DRT,Del Rio,Del Rio International,P,N,"19,879","8,296",139.62%
328,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"19,860","10,118",96.28%
329,NE,MA,HYA,Hyannis,Cape Cod Gateway,P,N,"19,520","9,779",99.61%
330,CE,KS,SLN,Salina,Salina Regional,P,N,"19,407","10,561",83.76%
331,AL,AK,DUT,Unalaska,Unalaska,P,N,"19,099","10,072",89.62%
332,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"18,867","11,503",64.02%
333,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"18,790","12,103",55.25%
335,GL,SD,ATY,Watertown,Watertown Regional,P,N,"18,419","7,225",154.93%
337,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,"17,774","14,761",20.41%
338,GL,SD,PIR,Pierre,Pierre Regional,P,N,"17,510","8,017",118.41%
339,GL,ND,DIK,Dickinson,Dickinson/Theodore Roosevelt Regional,P,N,"17,506","11,407",53.47%
340,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"17,356","10,719",61.92%
341,NE,RI,WST,Westerly,Westerly State,P,N,"16,925","12,728",32.97%
342,NM,WY,LAR,Laramie,Laramie Regional,P,N,"16,728","9,227",81.29%
343,NM,MT,BTM,Butte,Bert Mooney,P,N,"16,707","12,460",34.09%
344,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,"16,679","9,930",67.97%
345,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,"16,632","15,676",6.10%
346,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,"16,569","9,778",69.45%
347,NE,RI,BID,Block Island,Block Island State,P,N,"16,382","12,399",32.12%
349,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,"15,748","9,981",57.78%
350,WP,NV,EKO,Elko,Elko Regional,P,N,"15,641","10,351",51.11%
353,NM,WY,RIW,Riverton,Central Wyoming Regional,P,N,"15,420","7,459",106.73%
