Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
483,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,"3,662","2,000",83.10%
484,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,"3,601","2,755",30.71%
485,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"3,547","2,681",32.30%
486,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"3,546","1,010",251.09%
487,CE,NE,AIA,Alliance,Alliance Municipal,CS,None,"3,543","1,605",120.75%
489,AL,AK,VAK,Chevak,Chevak,CS,None,"3,489","2,015",73.15%
490,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,CS,None,"3,483","2,713",28.38%
491,AL,AK,SOV,Seldovia,Seldovia,CS,None,"3,469","3,051",13.70%
495,NM,MT,HVR,Havre,Havre City-County,CS,None,"3,395","2,037",66.67%
496,NM,MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,None,"3,388","2,705",25.25%
497,GL,IN,GYY,Gary,Gary/Chicago International,CS,None,"3,373","2,659",26.85%
498,EA,PA,BFD,Bradford,Bradford Regional,CS,None,"3,361","2,145",56.69%
499,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,"3,353","1,800",86.28%
500,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,"3,298","1,467",124.81%
504,AL,AK,SGY,Skagway,Skagway,CS,None,"3,082","1,807",70.56%
505,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,"3,078","2,427",26.82%
506,AL,AK,KSM,Saint Mary's,St Mary's,CS,None,"2,982","2,166",37.67%
507,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"2,903","2,017",43.93%
508,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,"2,891","2,462",17.42%
510,AL,AK,PHO,Point Hope,Point Hope,CS,None,"2,844","2,012",41.35%
511,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"2,822","1,603",76.04%
512,AL,AK,WLK,Selawik,Selawik,CS,None,"2,806","2,268",23.72%
513,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,"2,739","2,840",-3.56%
514,NM,WA,RNT,Renton,Renton Municipal,CS,None,"2,734",825,231.39%
515,AL,AK,BVK,Buckland,Buckland,CS,None,"2,625","1,855",41.51%
516,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"2,600","2,026",28.33%
517,AL,AK,AFE,Kake,Kake,CS,None,"2,552","1,642",55.42%
518,AL,AK,WTK,Noatak,Noatak,CS,None,"2,506","2,201",13.86%
,,,95,Nonprimary Commercial Service,,,,,,
,,,383,Total Commercial Service,,,,,,
