FIPS,2020,2030,2040,2050,2060,2070,2080,2090,2100,state_name
01001,59003.47043912308,64363.20361104537,69769.91098261684,81170.37070067792,93009.39866494932,105828.01706938802,119445.61285941087,132619.0359447881,145540.30186594866,alabama
01003,177600.6477437705,173241.9142764753,171809.42862037077,189914.3459926114,211504.1556189299,236391.2781901301,263372.6968080626,289491.8356062968,314937.91165559174,alabama
01005,24307.596399408696,23467.942000743173,23044.388312372525,35440.293839075865,48212.0948041974,61769.54305533062,75897.37711966538,89378.04643051236,102353.20531148092,alabama
01007,19999.558489917097,17727.69788750569,16255.070144766343,32159.39221691813,49023.40394557917,67242.67347295505,86550.03551574559,105310.12507613216,123682.28688668647,alabama
01009,56358.40050064279,52448.73297005311,47996.81934485386,67735.98897782984,89181.81060128324,113081.6863234198,138756.5030010802,163756.19051322853,188405.8434583018,alabama
01011,9138.38128488762,8827.251893971143,8876.372552041657,20794.632443121165,33013.206641602985,45896.27130257856,59231.13232818631,71956.991247627,84204.45686555795,alabama
01013,16099.098947992268,14408.177714623602,14169.983017700037,21766.86456811144,29847.17526429,38493.12154087543,47517.04830535008,56138.21357355471,64457.132879589066,alabama
01015,132546.84849206937,144227.19575968184,152647.68709679545,162783.6153587011,173837.40019152864,186464.3794779918,200694.5142160336,215390.4279446381,230784.11073926775,alabama
01017,34357.21380581541,34862.76394447022,35469.77228145639,45660.16763712186,56747.548291502375,69223.06597230406,83149.18693475475,97562.46067052848,112686.429031724,alabama
01019,24815.666627542734,23494.84304006129,22342.97521279053,35449.56751405434,50017.71574638207,66913.51834835045,86332.44147805098,106889.5307729567,128858.6129698545,alabama
01021,41809.48268454176,37464.90374916939,32876.81136157182,56623.93350679792,82630.9816230923,111134.01384860509,141423.61325390468,170801.02361330396,199556.87057180956,alabama
01023,4534.090154797618,2758.8134441270577,2199.021231970183,3271.041636671927,4473.730597044803,5790.714218906701,7160.039632646094,8464.018307269205,9761.545106121594,alabama
01025,16917.67680419323,15019.205859542604,14141.493198575788,16741.448363288215,19644.973663257875,22907.96652030042,26394.816208017302,29752.626312237328,33045.0515511334,alabama
01027,12106.130604184647,10791.371459101403,9859.28201506468,19327.76301326232,29390.980882773365,40508.39835955855,52671.82804151096,64960.33968223136,77578.37139503755,alabama
01029,14187.076210586669,13519.90855558244,12961.536728643723,36512.633158064295,61982.93115256912,90535.7491472241,122218.16209674814,154713.90444841923,188331.50773204069,alabama
01031,46645.84266605694,46891.27877841004,49073.439382139295,51587.55822703031,54800.88657190718,58447.20447651343,62327.04754143781,66070.16976331707,69680.96339401713,alabama
01033,57340.03822319605,60909.08990464304,64865.73971032664,67324.28029032778,70220.96878081799,73750.10180386077,77787.60280491743,81828.74525782916,85907.72942256706,alabama
01035,7383.884550702704,5917.482201629947,5462.427288418676,7952.608583607388,10626.848316943964,13548.117909566765,16648.598281279268,19674.24360307817,22645.38443910806,alabama
01037,9411.86535932947,7639.445339798898,6528.151669923538,31525.93871306812,57410.94149516587,85019.86133942856,114006.33721720747,142042.8060135438,169440.65524698273,alabama
01039,31118.18037411992,28189.8873931242,27002.26469191532,29502.395639910417,32430.40072844123,35934.417067268216,39851.45140929544,43662.964793483,47392.52536807569,alabama
01041,7570.636174835095,5465.643293410551,4866.11470037954,11605.040463934834,18561.036022231117,25911.368061666824,33529.76315996176,40767.172229712814,47726.45099689424,alabama
01043,82997.43162738904,82416.92971895236,80528.6115056654,104255.18493442924,129012.16633793469,156130.94388338688,185243.89139027047,213477.70818690697,241261.7186686611,alabama
01045,43847.58104431511,41021.33054469425,40922.20944431688,40897.206375457135,41728.626753704746,42910.96001319506,44295.7407527612,45703.97245930914,47115.61368103596,alabama
01047,43478.533875296045,46286.34524811733,49703.70587259033,59818.28420443399,70364.35082042134,81701.73346996178,93682.92321563802,105263.6852527767,116590.81668673323,alabama
01049,72016.18452821857,70874.81860865963,68894.49371004362,79612.90350732036,91303.29068643817,104854.78908454874,120175.87132333768,135794.84966003598,152020.03421297536,alabama
01051,82224.1030003921,84427.76873540203,87369.07289633676,95656.8381878394,104610.20076549376,114833.72616355476,126072.74024934832,137136.173059493,148218.99300072723,alabama
01053,36314.2473185195,34241.89734070658,32961.56341400504,41959.31300937918,51664.91639446797,62312.00397326056,73694.94805629033,84758.24410299264,95570.98514082003,alabama
01055,116270.1064309095,126063.78178501838,134196.136915019,146070.94183575164,158594.86512309336,172433.95358106887,187569.6585657991,202656.62477097957,217979.42215697703,alabama
01057,14491.452084308366,12653.473016872753,11622.04490319457,27010.41773266795,43013.00611498577,60166.70066473062,78231.2178350613,95681.58089407969,112743.21083639876,alabama
01059,28922.776147138025,27495.22275141376,26922.352498957134,29274.61636684453,32040.287607113256,35329.01958402745,39015.93120617899,42711.99593041901,46478.26034341073,alabama
01061,20495.0508033399,16970.019572592573,15643.542020466924,16692.843927175192,18148.985826011813,19968.091834242365,22030.60116183413,24011.367144986565,25905.80238450064,alabama
01063,5347.449558069947,4291.915891491818,3681.2844776545353,7944.33719501753,12462.403359509091,17285.895653300846,22368.646697078704,27303.57733178791,32146.815247188795,alabama
01065,11275.326236202623,9903.163735783006,9332.63541694289,15264.826142573933,21469.2126041876,28205.61177270244,35379.72600520725,42353.37635624071,49199.18217585113,alabama
01067,11518.810489733016,9146.339348642714,8133.465538065713,9996.655701344363,12203.412530101405,14666.013783412734,17293.090327228078,19839.312742059923,22351.57141681796,alabama
01069,108965.72746374628,117034.18530512546,126994.15571356007,125936.37152117847,126063.07288522823,126931.07136644646,128252.17464159636,129656.94660841986,131037.18487119992,alabama
01071,50506.996959943615,47866.01749528146,45380.14409313956,59039.03926287792,73893.55860252293,90549.99750455156,108749.1516881554,126808.158635259,144968.1363004715,alabama
01073,824935.3296117847,1012373.4600551472,1231658.3589906383,1263559.3790648784,1298052.4174853102,1336036.004984649,1376828.794168719,1416622.4425507977,1455835.557398148,alabama
01075,9218.111476874035,6697.497803171565,5601.610203359107,9430.600599679006,13582.298306310762,18100.16792902507,22902.394058786624,27574.06415310276,32177.80476795435,alabama
01077,100793.76966692544,107404.87190783118,113924.03295113424,115163.84519818438,117926.01326008677,122023.98593913892,127073.33678532112,132227.8464805204,137523.3287077398,alabama
01079,29696.632544963937,24255.429977628555,20167.311644127403,23224.78014214285,27757.110664059768,33302.41711223268,39520.31935059719,45720.74322076012,51925.17378821957,alabama
01081,163159.3229196521,187896.08598348167,215412.9254874265,223454.430071953,232764.90977376475,243410.3617089806,255126.945008902,266732.87664247485,278411.41915133945,alabama
01083,88129.82621584099,90509.9843229234,93931.85473447114,96728.02392495378,100907.66477710064,106470.82769871132,113139.34843346752,119938.02578332684,126931.95330726272,alabama
01085,5277.284784601451,3483.430422071807,2782.625079137279,9823.17963904625,17273.0640261095,25245.49640636853,33578.0480543775,41608.2144615404,49418.12616478178,alabama
01087,18302.06540242948,16655.668841380026,16740.658647725682,27419.188897653752,38602.54703190205,50459.99556246279,62815.28497134194,74680.14430681757,86181.8832115867,alabama
01089,403010.3904026855,472040.7308075407,539463.6889961143,544614.3232283928,550784.4334457,558357.5709429886,567057.9904892083,575836.7443759361,584835.9145560649,alabama
01091,14050.534269245189,12729.95184486063,12478.930678346,14956.635379560372,17701.334172007122,20669.79834718669,23808.691654599992,26849.54649814704,29854.68446960081,alabama
01093,26748.465037867525,23804.81514150871,21852.94914133793,26137.03693932361,30886.98489686119,36301.13802146222,42199.7484854917,47943.69518397122,53651.47217243734,alabama
01095,99411.57925379592,104004.96335444448,107294.60189973775,116055.60477152286,125285.29719750772,135623.86599597783,146910.9762989293,157910.72331552033,168851.217572907,alabama
01097,492220.8474177762,582938.6423372184,685843.7686347889,698946.1374252528,713332.0789651152,729746.887163747,747657.7170674218,764848.9598049704,781629.9852040611,alabama
01099,16597.259128811496,14666.481604061246,13879.39860532902,17485.03125666554,21325.02455627086,25561.69482029978,30144.043568908084,34585.827356299334,38946.21271117125,alabama
01101,284769.64274987293,354586.4400064645,436681.7227625088,445270.7803249263,454560.9295927024,464695.3917759618,475398.27913981705,485769.2164173615,495938.346417751,alabama
01103,136439.79417633417,152585.47815574883,167337.92709618455,174955.6856156791,183129.76864324155,192425.31812352448,202572.20981387465,212445.7685900308,222280.43987058863,alabama
01105,7864.482659948753,7573.429154587513,7535.504461662984,16755.699691927297,26255.082600172635,36358.14791200568,46952.42569897155,57189.49532154889,67189.17689943888,alabama
01107,13018.614861057184,10934.522349713132,10171.219567851556,18007.90487212377,26168.40016559975,34915.566526997114,44166.03474459246,53126.34611920447,61920.781275959765,alabama
